date,high,low,open,close
2019-11-01,31.36,30.88,31.05,31.14	
2019-10-31,31.36,30.45,31.30,30.90	
2019-10-30,31.66,30.92,31.40,31.34	
2019-10-29,31.84,31.47,31.53,31.54	
2019-10-28,31.93,31.18,31.23,31.56	
2019-10-25,31.55,30.99,31.00,31.18	
2019-10-24,30.95,30.28,30.60,30.89	
2019-10-23,30.78,30.15,30.15,30.56	
2019-10-22,30.26,29.58,29.70,30.15	
2019-10-21,29.95,29.40,29.87,29.70	
2019-10-18,29.78,29.11,29.39,29.72	
2019-10-17,29.59,28.72,28.85,29.55	
2019-10-16,28.87,28.47,28.65,28.69	
2019-10-15,28.81,28.39,28.61,28.69	
2019-10-14,28.77,28.35,28.56,28.53	
2019-10-11,28.94,28.31,28.48,28.63	
2019-10-10,28.64,28.01,28.07,28.14	
2019-10-09,28.55,28.05,28.41,28.16	
2019-10-08,28.84,28.39,28.80,28.40	
2019-10-07,29.32,28.76,28.90,29.03	
2019-10-04,29.25,27.93,28.26,29.01	
2019-10-03,28.21,27.35,28.21,28.01	
2019-10-02,28.82,28.01,28.13,28.25	
2019-10-01,28.68,28.06,28.48,28.33
2019-09-30,29.08,28.42,29.00,28.48
