bureau,place,population,lat,lon
yes,New York,8550405,40.71455,-74.007124
yes,Los Angeles,3971883,34.05349,-118.245319
yes,Chicago,2720546,41.88415,-87.632409
yes,Houston,2296224,29.76045,-95.369784
no,Philadelphia,1567442,39.95228,-75.162454
yes,Phoenix,1563025,33.44826,-112.075774
no,San Antonio,1469845,29.42449,-98.494619
no,San Diego,1394928,32.715695,-117.161719
no,Dallas,1300092,32.778155,-96.795404
no,San Jose,1026908,37.338475,-121.885794
no,Austin,931830,30.267605,-97.742984
no,Jacksonville,868031,30.33147,-81.656219
yes,San Francisco,864816,37.777125,-122.419644
no,Indianapolis,853173,39.76691,-86.149964
no,Columbus,850106,39.96196,-83.002984
no,Fort Worth,833319,32.748855,-97.329389
no,Charlotte,827097,35.22269,-80.837764
yes,Seattle,684451,47.60356,-122.329439
yes,Denver,682545,39.74001,-104.992259
no,El Paso,681124,31.759165,-106.487494
no,Detroit,677116,42.331685,-83.047924
yes,Washington,672228,38.89037,-77.031959
yes,Boston,667137,42.358635,-71.056699
no,Memphis,655770,35.149766,-90.049259
no,Nashville-Davidson,654610,36.167783,-86.778365
no,Portland,632309,45.511795,-122.675629
no,Oklahoma City,631346,35.472015,-97.520354
no,Las Vegas,623747,36.171915,-115.139974
no,Baltimore,621849,39.290585,-76.609264
no,Louisville/Jefferson County,615366,38.25486,-85.766404
no,Milwaukee,600155,43.04181,-87.906844
no,Albuquerque,559121,35.08418,-106.648639
no,Tucson,531641,32.221553,-110.969754
no,Fresno,520052,36.740685,-119.785734
no,Sacramento,490712,38.579065,-121.491014
yes,Kansas City,475378,39.11338,-94.626824
no,Long Beach,474140,33.766725,-118.192399
no,Mesa,471825,33.417045,-111.831459
yes,Atlanta,463878,33.748315,-84.391109
no,Colorado Springs,456568,38.83345,-104.821814
no,Virginia Beach,452745,36.75502,-76.059204
no,Raleigh,451066,35.78551,-78.642669
no,Omaha,443885,41.260675,-95.940469
yes,Miami,441003,25.728985,-80.237419
no,Oakland,419267,37.805065,-122.273024
no,Minneapolis,410939,44.979035,-93.264929
no,Tulsa,403505,36.149745,-95.993334
no,Wichita,389965,37.68698,-97.335579
yes,New Orleans,389617,29.9564,-90.0758
no,Arlington,388125,38.89051,-77.086294
